Date,Season,Site,Total Phosphorus - P
11/22/17,Fall,Coldwater Creek,0.25
11/22/17,Fall,Coldwater Creek Wetland Outflow,0.23
12/1/17,Winter,Coldwater Creek,0.2
12/7/17,Winter,Coldwater Creek,0.19
12/14/17,Winter,Coldwater Creek,0.22
12/20/17,Winter,Coldwater Creek,0.12
1/25/18,Winter,Coldwater Creek,0.08
2/2/18,Winter,Coldwater Creek,0.1
2/15/18,Winter,Coldwater Creek,0.01
2/23/18,Winter,Coldwater Creek,0.39
3/2/18,Spring,Coldwater Creek,0.85
3/9/18,Spring,Coldwater Creek,0.13
3/15/18,Spring,Coldwater Creek,0.1
3/23/18,Spring,Coldwater Creek,0.1
3/30/18,Spring,Coldwater Creek,0.91
4/6/18,Spring,Coldwater Creek,0.37
4/6/18,Spring,Coldwater Creek Wetland Outflow,0.19
4/12/18,Spring,Coldwater Creek,0.2
4/12/18,Spring,Coldwater Creek Wetland Outflow,0.11
4/20/18,Spring,Coldwater Creek,0.17
4/20/18,Spring,Coldwater Creek Wetland Outflow,0.12
4/27/18,Spring,Coldwater Creek,0.13
4/27/18,Spring,Coldwater Creek Wetland Outflow,0.07
5/2/18,Spring,Coldwater Creek,0.15
5/2/18,Spring,Coldwater Creek Wetland Outflow,0.06
5/7/18,Spring,Coldwater Creek,0.11
5/7/18,Spring,Coldwater Creek Wetland Outflow,0.07
5/14/18,Spring,Coldwater Creek,0.19
5/14/18,Spring,Coldwater Creek Wetland Outflow,0.12
5/21/18,Spring,Coldwater Creek,0.15
5/21/18,Spring,Coldwater Creek Wetland Outflow,0.22
5/29/18,Spring,Coldwater Creek,0.33
5/29/18,Spring,Coldwater Creek Wetland Outflow,0.15
6/4/18,Summer,Coldwater Creek,0.29
6/4/18,Summer,Coldwater Creek Wetland Outflow,0.11
6/11/18,Summer,Coldwater Creek,0.35
6/11/18,Summer,Coldwater Creek Wetland Outflow,0.08
6/18/18,Summer,Coldwater Creek,0.27
6/18/18,Summer,Coldwater Creek Wetland Outflow,0.08
6/25/18,Summer,Coldwater Creek,0.35
6/25/18,Summer,Coldwater Creek Wetland Outflow,0.09
7/2/18,Summer,Coldwater Creek,0.31
7/2/18,Summer,Coldwater Creek Wetland Outflow,0.07
7/9/18,Summer,Coldwater Creek,0.38
7/9/18,Summer,Coldwater Creek Wetland Outflow,0.2
7/16/18,Summer,Coldwater Creek,0.51
7/16/18,Summer,Coldwater Creek Wetland Outflow,0.36
7/23/18,Summer,Coldwater Creek,0.44
7/23/18,Summer,Coldwater Creek Wetland Outflow,0.28
7/30/18,Summer,Coldwater Creek,0.28
7/30/18,Summer,Coldwater Creek Wetland Outflow,0.22
8/6/18,Summer,Coldwater Creek,0.51
8/6/18,Summer,Coldwater Creek Wetland Outflow,0.29
8/13/18,Summer,Coldwater Creek,0.46
8/13/18,Summer,Coldwater Creek Wetland Outflow,0.39
8/20/18,Summer,Coldwater Creek,0.14
8/20/18,Summer,Coldwater Creek Wetland Outflow,0.13
8/27/18,Summer,Coldwater Creek,0.41
8/27/18,Summer,Coldwater Creek Wetland Outflow,0.32
9/3/18,Fall,Coldwater Creek,0.43
9/3/18,Fall,Coldwater Creek Wetland Outflow,0.28
9/11/18,Fall,Coldwater Creek,0.6
9/11/18,Fall,Coldwater Creek Wetland Outflow,0.25
9/17/18,Fall,Coldwater Creek,0.36
9/17/18,Fall,Coldwater Creek Wetland Outflow,0.24
9/25/18,Fall,Coldwater Creek,0.3
9/25/18,Fall,Coldwater Creek Wetland Outflow,0.18
10/1/18,Fall,Coldwater Creek,0.22
10/1/18,Fall,Coldwater Creek Wetland Outflow,0.09
10/9/18,Fall,Coldwater Creek,0.31
10/9/18,Fall,Coldwater Creek Wetland Outflow,0.13
10/18/18,Fall,Coldwater Creek,0.26
10/18/18,Fall,Coldwater Creek Wetland Outflow,0.06
10/23/18,Fall,Coldwater Creek,0.26
10/23/18,Fall,Coldwater Creek Wetland Outflow,0.11
10/30/18,Fall,Coldwater Creek,0.26
10/30/18,Fall,Coldwater Creek Wetland Outflow,0.15
11/6/18,Fall,Coldwater Creek,0.38
11/6/18,Fall,Coldwater Creek Wetland Outflow,0.13
11/13/18,Fall,Coldwater Creek,0.26
11/13/18,Fall,Coldwater Creek Wetland Outflow,0.1
11/20/18,Fall,Coldwater Creek,0.18
11/20/18,Fall,Coldwater Creek Wetland Outflow,0.07
11/27/18,Fall,Coldwater Creek,0.68
11/27/18,Fall,Coldwater Creek Wetland Outflow,0.05
12/4/18,Winter,Coldwater Creek,0.3
12/10/18,Winter,Coldwater Creek,0.13
12/17/18,Winter,Coldwater Creek,0.49
12/27/18,Winter,Coldwater Creek,0.14
1/3/19,Winter,Coldwater Creek,0.31
1/9/19,Winter,Coldwater Creek,0.15
1/15/19,Winter,Coldwater Creek,0.15
2/7/19,Winter,Coldwater Creek,0.51
2/14/19,Winter,Coldwater Creek,0.32
2/21/19,Winter,Coldwater Creek,0.43
2/28/19,Winter,Coldwater Creek,0.3
3/7/19,Spring,Coldwater Creek,0.18
3/14/19,Spring,Coldwater Creek,0.26
3/21/19,Spring,Coldwater Creek,0.14
3/21/19,Spring,Coldwater Creek Wetland Outflow,0.16
3/28/19,Spring,Coldwater Creek,0.12
3/28/19,Spring,Coldwater Creek Wetland Outflow,0.09
4/4/19,Spring,Coldwater Creek,0.16
4/4/19,Spring,Coldwater Creek Wetland Outflow,0.08
4/11/19,Spring,Coldwater Creek,0.19
4/11/19,Spring,Coldwater Creek Wetland Outflow,0.08
4/18/19,Spring,Coldwater Creek,0.2
4/18/19,Spring,Coldwater Creek Wetland Outflow,0.11
4/25/19,Spring,Coldwater Creek,0.35
4/25/19,Spring,Coldwater Creek Wetland Outflow,0.13
5/1/19,Spring,Coldwater Creek,0.42
5/1/19,Spring,Coldwater Creek Wetland Outflow,0.18
5/8/19,Spring,Coldwater Creek,0.25
5/8/19,Spring,Coldwater Creek Wetland Outflow,0.15
5/15/19,Spring,Coldwater Creek,0.37
5/15/19,Spring,Coldwater Creek Wetland Outflow,0.13
5/22/19,Spring,Coldwater Creek,0.38
5/22/19,Spring,Coldwater Creek Wetland Outflow,0.12
5/29/19,Spring,Coldwater Creek,0.66
5/29/19,Spring,Coldwater Creek Wetland Outflow,0.11
6/5/19,Summer ,Coldwater Creek,0.25
6/5/19,Summer ,Coldwater Creek Wetland Outflow,0.11
6/12/19,Summer ,Coldwater Creek,0.36
6/12/19,Summer ,Coldwater Creek Wetland Outflow,0.21
6/19/19,Summer ,Coldwater Creek,0.49
6/19/19,Summer ,Coldwater Creek Wetland Outflow,0.23
6/26/19,Summer ,Coldwater Creek,0.22
6/26/19,Summer ,Coldwater Creek Wetland Outflow,0.14
7/3/19,Summer ,Coldwater Creek,0.32
7/3/19,Summer ,Coldwater Creek Wetland Outflow,0.14
7/10/19,Summer ,Coldwater Creek,0.38
7/10/19,Summer ,Coldwater Creek Wetland Outflow,0.16
7/17/19,Summer ,Coldwater Creek,0.93
7/17/19,Summer ,Coldwater Creek Wetland Outflow,0.29
7/24/19,Summer ,Coldwater Creek,0.32
7/24/19,Summer ,Coldwater Creek Wetland Outflow,0.1
7/29/19,Summer ,Coldwater Creek,0.38
7/29/19,Summer ,Coldwater Creek Wetland Outflow,0.19
8/7/19,Summer ,Coldwater Creek,0.49
8/7/19,Summer ,Coldwater Creek Wetland Outflow,0.21
8/14/19,Summer ,Coldwater Creek,0.46
8/14/19,Summer ,Coldwater Creek Wetland Outflow,0.26
8/20/19,Summer ,Coldwater Creek,0.42
8/20/19,Summer ,Coldwater Creek Wetland Outflow,0.27
8/27/19,Summer ,Coldwater Creek,0.43
8/27/19,Summer ,Coldwater Creek Wetland Outflow,0.23
9/3/19,Fall,Coldwater Creek,0.36
9/3/19,Fall,Coldwater Creek Wetland Outflow,0.29
9/10/19,Fall,Coldwater Creek,0.39
9/10/19,Fall,Coldwater Creek Wetland Outflow,0.34
9/17/19,Fall,Coldwater Creek,0.38
9/17/19,Fall,Coldwater Creek Wetland Outflow,0.32
9/24/19,Fall,Coldwater Creek,0.39
9/24/19,Fall,Coldwater Creek Wetland Outflow,0.34
10/1/19,Fall,Coldwater Creek,0.34
10/1/19,Fall,Coldwater Creek Wetland Outflow,0.29
10/8/19,Fall,Coldwater Creek,0.31
10/8/19,Fall,Coldwater Creek Wetland Outflow,0.29
10/15/19,Fall,Coldwater Creek,0.25
10/15/19,Fall,Coldwater Creek Wetland Outflow,0.31
10/22/19,Fall,Coldwater Creek,0.24
10/22/19,Fall,Coldwater Creek Wetland Outflow,0.31
10/29/19,Fall,Coldwater Creek,0.38
11/5/19,Winter ,Coldwater Creek,0.41
11/12/19,Winter ,Coldwater Creek,0.21
11/19/19,Winter ,Coldwater Creek,0.19
